FILE_NAME	CHARACTER_NAME	TEXT	CHOICES	CONTEXT
vendor_interact_no_profile_01	"Chops"	Come closer! I won't bite! You here to buy or here to sell?	Buying | Selling | Nevermind	
vendor_interact_no_profile_02	"Chops"	Welcome! Are you buying or selling?	Buying | Selling | Nevermind	
vendor_interact_no_profile_03	"Chops"	What's up! Want to see my wares?	Buying | Selling | Nevermind	
vendor_interact_no_profile_04	"Chops"	Selling your fish? Or do you want some sweet upgrades?	Buying | Selling | Nevermind	
vendor_interact_01	"Chops"	Come in! Warm yourself by the fire. Now... Are you buying or selling?	Buying | Selling | Profiles builder? | Nevermind	
vendor_interact_02	"Chops"	Well met, friend! Here to buy or off-load your goods?	Buying | Selling | Profiles builder? | Nevermind	
vendor_interact_03	"Chops"	Are you here to buy or... have you created an new profile for me to buy?	Buying | Selling | Profiles builder? | Nevermind	
vendor_interact_04	"Chops"	Selling your goods? Or do you want to peruse my wares?	Buying | Selling | Profiles builder? | Nevermind	
vendor_interact_05	"Chops"	I hope you are not forgetting to use that profile builder. Anyways, what can I help you with?	Buying | Selling | Profiles builder? | Nevermind	
vendor_profile_builder_explain	"Chops"	As I previously mentioned, you put in a data-fish into the terminal over there and choose the desired data to extract from it. | Remember, this destroys the fish, so pick carefully. | Then, with that data extracted, access the profile builder on the whiteboard. | There, you put together an profile by dragging and dropping the data onto one of the slots. | Try to place the correct data into the correct slot and also to combine data to reference the same person for maximum profit. | Then, build the profile and bring it to me to sell. 		
vendor_nevermind_01	"Chops"	Don't keep me waiting.		
vendor_nevermind_02	"Chops"	Have it your way.		
vendor_nevermind_03	"Chops"	C'mon, quit wasting my time.		
vendor_nevermind_04	"Chops"	Come back if you change your mind.		
vendor_nevermind_05	"Chops"	Nevermind? You came up to me and started the conversation, what do you mean nevermi-		
oldman_speak_01	Old Man	Keep your wits about ya. | Aah reckon somethin' is hidin' en the clouds. 		
vendor_close_shop_01	"Chops"	See you around, Compadre.		
tutorial_intro_01	Grahams	Hey you! | This area is off-limits! | … | Wait one minute... | You’re that newcomer Old Man told us about…	Old man?	
tutorial_intro_old_man	Grahams	Yeah. | The Old Man found Concrete Cove first and invites only those he trusts to join it. | He spoke highly of you and told us that you were allowed here. | I’d wager he wants to speak with you right away. | Go on, he’s by the ledge.		
tutorial_intro_repeat	Grahams	Go on. | He's waiting on you.		
tutorial_old_man_buy_fishing_rod_01	Old Man	Ahoy there! | I see that you made it in one piece. | However, I notice that you’re lacking one piece of crucial fishin' equipment. | Your rod! | I’d check by with “Chops” to see if he has any old rods on hand.	"Chops"?	
tutorial_old_man_buy_fishing_rod_02	Old Man	Ah! I forgot you’re new here. | Chops is our local dealer when it comes to gear and sellin' our fish. | His shop is located in that doorway with the fire barrel inside it. | I recommend being quick and firm with your dealings with him as he ain’t the guy to become chummy with if you catch my drift. | Anyhow, go talk to him, can’t do any fishing without a fishing rod.		
tutorial_old_man_buy_fishing_rod_repeat	Old Man	Still can’t see any fishin' rod in your hands. | Go talk to Chops to get that sorted out.		
tutorial_vendor_01	"Chops"	Well, well, well! A new face! | You can call me Chops. | I am the local dealer here supplying fine data-fishers, like you, with all of the gear they need. | I also buy data-fishes and profiles off you, once you have any. | Speaking of which, I see that you have no fishing rod on your person. | That is one of many problems I can solve, for the right price. | … | As you are new… I’d wager you don’t have much disposable income on ya, so I’ll sell you one of my cheaper offerings. | She might be quite beat-up, but she’ll do the job. | Have a look.	Open Shop | Nevermind	
tutorial_vendor_02	"Chops"	There we are. | I hope she is to your liking. | Now, I ain’t a data-fisher, so you’ll have to go back to the Old Man to learn how to actually fish. | See ya around.		
tutorial_old_man_teach_fishing	Old Man	Now that you have your hand on a fishin' rod, it’s time to get down to brass tacks on how to data-fish. | To start, you throw that sucker as far into the cloud as you can. | The further you throw, the better the data-fish you can fish up. | From there, you wait for a data-fish to get caught on yer hook. | Then, it’s you against the fish, with a precision-timed reel to start the tug of war… | You have to move yer fishin' rod against the movements of the data-fish. | Precision and tracking are key to tire out the data-fish, so pay attention to which direction you have to move the rod! | And if you have done everything correctly, then you’ll reel in a datafish! | Or a piece of junk… | Regardless, you then sell your data-fish to Chops for a profit or use them to build a profile. | I assume you don’t have your hands on a profile builder yet, so I’d just focus on selling the fish to chops for now. | Happy data-fishin' and a warm welcome to Concrete Cove.		
tutorial_old_man_teach_fishing_repeat	Old Man	Just toss the hook as far as you can into the Cloud and start fishin'.		
tutorial_old_man_encourge_fishing	Old Man	Now look at that! | You got yourself a fish! | Nicely done. | Now, go over to Chops; he'll probably want to buy that fish off you. | Or just continue fishin' and sell data-fish in batches. | Just remember that Chops closes up shop 22:00, so conduct yer business with him before then. | Anyways, feel free to strike up a conversation with me if you're lookin' for more tips.		
				
tutorial_vender_profile_builder_01	"Chops"	You really are putting in the work with that rod. | Good on ya. | However, it ain't the quanitity of data-fishes that matters... | It's the quality!	Quality?	
tutorial_vender_profile_builder_02	"Chops"	Mhm! | You see, the data on a data-fish by itself is worth something but put them together with relevant data, and then you multiplying it's worth. | But you might ask, how do you combine data? | Well, it's easy! Use my patented profile builder duh! | Since you have been doing the work, I'll fork one over at a reasonable price. | I promise it'll be worth every Cloudbuck you spend on it.	Open Shop | Nevermind	
tutorial_vender_profile_builder_03	"Chops"	There we are! Installed and ready to be used. | ... | Right, you have no clue how to use that thing. | Ok so, let me give you a quick rundown. | Most data-fishes will contain sensitive information about someone. | The terminal on the profile builder allows you to extract any single piece of data from a data-fish. | However, the process destroys the fish, so pick carefully! | With that piece of information, you can access the whiteboard to build a profile. | You slot in one of those piece of data you extracted and boom, you are actively building a profile on someone. | However, there is an art to this that comes in two forms: | 1. Any specific data can be placed anywhere, but the right data in the right slot increases the value of the profile more. | 2. The more accurate the data is to eachother and to the person you are building a profile on, the more truthful and thus valuable the entire profile becomes. | Once you have filled out the profile to your liking, you print that profile onto a driver and sell that driver to me for a profit! | Now, go out there and create some profiles!		
				
tips_old_man_start_01	Old Man	How's yer fishin' going, kid?	Got any tips? | Nevermind	
tips_old_man_start_02	Old Man	Watcha' need?	Got any tips? | Nevermind	
tips_old_man_start_03	Old Man	Aye?	Got any tips? | Nevermind	
tips_old_man_repeat	Old Man	Sorry kid, I ain't got anymore tips for ya. | Come back tomorrow and my mind might be alittle more clearer.		
tips_old_man_nevermind_01	Old Man	Alrighty then.		
tips_old_man_nevermind_02	Old Man	Very well.		
tips_old_man_nevermind_03	Old Man	Keep your wits about ya. 		
tips_old_man_01_day_01	Old Man	Data-fishin' is time-consumin' work. | Yer' gonna realise the day is over faster than you expected. | However, takin' your time to talk to yer fellow data-fishermen, like me and others, usually mentally slows down the perception of time passin'. | Same goes for readin' the contents of a data-fish, or lookin' at Chops's wares or anything that's not directly data-fishin' or starin' out at the Cloud. | So feel free to take your time interacting with Concrete Cove and her residents. | You might even learn somethin' you didn't realise you needed to know. | ... | Anyhoo! That's all I have to say about that.		
tips_old_man_02_day_01	Old Man	Here is one important one: Don't lose yer humanity! | Alright, I'm pullin' yer leg. | But seriously... think about what data yer' sellin' | Minimizin' the collateral damage you cause with data sold is important for a handful of reasons. | I ain't gonna list all of them, but here are two important ones: | First, excessive amounts of sensitive data-fishi bein' sold cause people to invest in alternatives to the Cloud-based communication. | Second, ruinin' lives is not good for the soul. | I know yer' not truly evil, kid... | So don't make the wrong decisions. | ... | I Hope that helps...		
tips_old_man_01_day_02	Old Man	It technically ain't yer business readin' the data-fishes' contents... | However, if ye' do, try to keep note on how many people are mentioned in it, and what is mentioned about 'em. | As Chops probably wants me to tell ye', try to avoid sellin' the fishes raw, and instead, hold onto 'em creating profiles. | It's gonna earn ye' a lot more Cloudbucks, but in return, the more complete a profile you build on someone, the more harmful the data sold will become. | It's a multiplyin' effect ye' see. | An name and an address don't mean much in a vacuum, but together, they become more... | Valuable... | But dangerous. | ... | Be careful, kid, that's all I'm askin'.		
tips_old_man_02_day_02	Old Man			
				
smalltalk_graham_day_01_start	Grahams	Oh, you’re talking to me? | Spoken to the Old man yet? | You have? | Good. | I never introduced myself fully. | My name is Omar Graham, but you can just call me Graham. | I am one of the “guards” here at Concrete Cove. | Cloud City is a dangerous place, especially for you data-fishers. | So, alongside my twin brother Otto, I intercept and redirect undesired individuals away from Concrete Cove.	Otto? | Intercept and redirect? | Ok.	
smalltalk_graham_day_01_otto	Grahams	Yup, my twin brother Otto Graham. | He always takes the "long-distance redirection" approach, which means you ain't gonna see as he is in one of the building apartments across the cloud, overlooking the nearby entrances to Concrete Cove. | Don't worry, he is a perceptive one, so he ain't gonna mistake you for somebody else. | Heck, if you look long enough, you might even catch the glint of his scope somewhere in the distane. | Although, don't count on it. | Anyways, I think small talk time is over, andd it's time to do our jobs. | Happy fishing!		
smalltalk_graham_day_01_intercept	Grahams	Mhm, now, killing is always the last resort, but we have other methods. | Lies. Tricking. Gaslighting. Intimidation. Persuasion. Bribery. | We use all available methods to turn people away, however… | There are some bad apples that know what they are doing and have no interest in respecting the private nature of Concrete Cove, so we have to hurt them a little. | The Old Man disapproves of using violence to deter people from coming to Concrete Cove, but even though he officially founded and oversees Concrete Cove, | he was outvoted 41 to 1 in allowing violence to be utilized to keep out undesirables. | He is still somewhat bitter about this, but luckily, we haven’t had to utilize violence in the past 2 weeks. | Anyways, you’re in safe hands, just keep fishing, and we will ensure you have the peace to do it.		
smalltalk_graham_day_01_ok	Grahams	Good that we understand eachother. | Happy fishing!		
smalltalk_graham_day_01_repeat	Grahams	Look, I'm sure you are a nice person to get to know, but I have a job to do. | And if you want to earn some Cloudbucks, I think you also have a job to do.		
				
